"MotifName"	"log_FC_Change"	"adj_p_val"	"CellType"	"Significance"
"FOS::JUND"	1.55309726961782	1.06005959352815e-09	"Naive CD4-1"	""
"FOSB::JUNB"	2.28893894292713	1	"γδ T"	""
"FOSB::JUNB"	-0.187504326216136	1	"CD8 GZMK"	""
"FOSB::JUNB"	-1.10693570739362	0.0104250963097512	"Naive CD8-1"	"*"
"FOSB::JUNB"	3.82954145489213	0.00136698319767725	"Memory CD4"	"*"
"FOSB::JUNB"	-1.35833090555906	1	"NK"	""
"FOSB::JUNB"	-0.505726974238246	0.000785332949566568	"CD8 GZMM"	"*"
"FOSB::JUNB"	-0.844515392933614	6.57767400829393e-08	"Naive CD8-2"	""
"FOSB::JUNB"	1.24947578838251	1	"Naive CD4-2"	""
"FOSB::JUNB"	1.4113207319824	1.02329332025998e-08	"Naive CD4-1"	""
"FOSL1"	2.69621975386777	1	"γδ T"	""
"FOSL1"	-0.647724398728537	1	"CD8 GZMK"	""
"FOSL1"	1.61507263112126	1.48841958656657e-09	"Naive CD4-1"	""
"FOSL1"	-2.40861789365194	1	"NK"	""
"FOSL1"	6.11000728085819	0.00681466748371649	"Memory CD4"	"*"
"FOSL1"	-0.124153161547661	0.00134067940638698	"CD8 GZMM"	"*"
"FOSL1"	0.851602640387147	1	"Naive CD4-2"	""
"FOSL1"	-1.23836426226141	0.0338244455964344	"Naive CD8-1"	"*"
"FOSL1"	-0.306643948175344	1.22485399330173e-08	"Naive CD8-2"	""
"FOSL1::JUN"	1.56516597917682	1	"γδ T"	""
"FOSL1::JUN"	1.34951521401066	0.0160828366003161	"Naive CD4-2"	"*"
"FOSL1::JUN"	3.94710299864268	0.00238218805423898	"Memory CD4"	"*"
"FOSL1::JUN"	1.63244337485722	8.97797964422741e-10	"Naive CD4-1"	""
"FOSL1::JUN"	-0.466689069309658	2.08997015634189e-08	"Naive CD8-2"	""
"FOSL1::JUN"	-1.21556581407675	0.0264015821532852	"Naive CD8-1"	"*"
"FOSL1::JUN"	1.51474968758308	1	"CD8 GZMK"	""
"FOSL1::JUN"	-1.4093348727683	1	"NK"	""
"FOSL1::JUN"	-0.00806142354230088	0.0159082195652303	"CD8 GZMM"	"*"
"FOSL1::JUNB"	-0.732902587993046	1.32021484208944e-08	"Naive CD8-2"	""
"FOSL1::JUNB"	-1.39571836573953	0.119637626380776	"Naive CD8-1"	""
"FOSL1::JUNB"	-1.53947563807255	1	"CD8 GZMK"	""
"FOSL1::JUNB"	5.73899088641867	0.00113516360844976	"Memory CD4"	"*"
"FOSL1::JUNB"	0.203711300294227	0.00747363960454132	"CD8 GZMM"	"*"
"FOSL1::JUNB"	0.181465249767273	1	"NK"	""
"FOSL1::JUNB"	1.00107518004409	0.141493114974014	"Naive CD4-2"	""
"FOSL1::JUNB"	1.28739727019118	8.59317971946537e-10	"Naive CD4-1"	""
"FOSL1::JUNB"	1.2088062133098	1	"γδ T"	""
"FOSL1::JUND"	-1.73686980492054	0.031154072922882	"Naive CD8-1"	"*"
"FOSL1::JUND"	-0.486028991715	3.35695694978201e-08	"Naive CD8-2"	""
"FOSL1::JUND"	1.07942587314704	1	"Naive CD4-2"	""
"FOSL1::JUND"	1.3860652653846	1	"γδ T"	""
"FOSL1::JUND"	-0.458653745454147	0.0232173889441982	"CD8 GZMM"	"*"
"FOSL1::JUND"	5.22150141396363	0.00671168181802193	"Memory CD4"	"*"
"FOSL1::JUND"	-1.42780234456841	1	"NK"	""
"FOSL1::JUND"	1.37439725471792	1.67742832473958e-08	"Naive CD4-1"	""
"FOSL1::JUND"	-1.02652911819659	1	"CD8 GZMK"	""
"FOSL2"	-0.1424421017854	2.36942026231316e-07	"Naive CD8-2"	""
"FOSL2"	0.190792025894091	0.00224173060369534	"Memory CD4"	"*"
"FOSL2"	1.63806380937931	3.91370445331985e-09	"Naive CD4-1"	""
"FOSL2"	-0.894027858566925	1	"CD8 GZMK"	""
"FOSL2"	1.10300231552339	0.000680773104905359	"CD8 GZMM"	"*"
"FOSL2"	1.49220063434856	0.338687109543723	"Naive CD4-2"	""
"FOSL2"	-1.07561231421711	1	"NK"	""
"FOSL2"	1.80399174535024	1	"γδ T"	""
"FOSL2"	-1.66481034056588	0.231364073672298	"Naive CD8-1"	""
"FOSL2::JUN"	1.71488805736301	0.00121076721583336	"Memory CD4"	"*"
"FOSL2::JUN"	1.8198406880151	7.44237551815689e-11	"Naive CD4-1"	""
"FOSL2::JUN"	-0.715509758714151	0.00395336799666412	"CD8 GZMM"	"*"
"FOSL2::JUN"	-0.901019712130591	1.02984580426258e-07	"Naive CD8-2"	""
"FOSL2::JUN"	-0.0300225124572293	1	"CD8 GZMK"	""
"FOSL2::JUN"	-1.06960580106409	1	"NK"	""
"FOSL2::JUN"	1.21846262401602	0.33812611577653	"Naive CD4-2"	""
"FOSL2::JUN"	1.4214741649256	1	"γδ T"	""
"FOSL2::JUN"	-1.36470897590458	0.199593668341813	"Naive CD8-1"	""
"FOSL2::JUNB"	2.26044668265126	1	"γδ T"	""
"FOSL2::JUNB"	1.39145191361482	6.50986515384649e-08	"Naive CD4-1"	""
"FOSL2::JUNB"	-0.473757252662478	1	"CD8 GZMK"	""
"FOSL2::JUNB"	-0.868416837547864	3.03605741805069e-06	"Naive CD8-2"	""
"FOSL2::JUNB"	0.204797351580975	0.000283397549310777	"CD8 GZMM"	"*"
"FOSL2::JUNB"	1.9419439398614	0.00106192564447731	"Memory CD4"	"*"
"FOSL2::JUNB"	-0.930793944366173	1	"NK"	""
